First Name,Last Name,Title,Company,Website,Person Linkedin Url,segment
Sasikarn,Tungboonterm,Founder & CEO,superbam.com,superbam.com,https://linkedin.com/in/sasikarn-tungboonterm-56a16a97,INFLUENCER_PLATFORMS
Sebastian,Boer,Senior Business Adviser to CEO and Founder,superbam.com,superbam.com,https://linkedin.com/in/sebastian-boer-1470873b,INFLUENCER_PLATFORMS
Anthony,Svirskis,CEO,trendtribecreators.com,trendtribecreators.com,https://linkedin.com/in/anthonysvirskis,INFLUENCER_PLATFORMS
Attila,Keskin,Founder and CEO of DesignScene,createscene.com,createscene.com,https://linkedin.com/in/attila-keskin-10b202b,INFLUENCER_PLATFORMS
Carolina,Moreno,BTrendy Founder,btrendy.co,btrendy.co,https://linkedin.com/in/carolina-moreno-0b78a88b,INFLUENCER_PLATFORMS
Jane,Deasy,Owner and Founder,btrendy.co,btrendy.co,https://linkedin.com/in/jane-deasy-164bb01b4,INFLUENCER_PLATFORMS
Dhruva,Tripathi,CEO,btrendy.co,btrendy.co,https://linkedin.com/in/dhruva-tripathi-7b842843,INFLUENCER_PLATFORMS
Barbara,Maiocchi,"Ceo, Creative Director & Co-Founder @Livetrend.co // Turning data into bestselling collections",btrendy.co,btrendy.co,https://linkedin.com/in/barbara-maiocchi-livetrend,INFLUENCER_PLATFORMS
Bridgette,M.,"CEO, Co-Founder",builtfirst.com,builtfirst.com,https://linkedin.com/in/bridgettemcguire,INFLUENCER_PLATFORMS
Marc,Perry,I build and scale impactful businesses — and help committed founders do the same.,builtfirst.com,builtfirst.com,https://linkedin.com/in/marc-perry,INFLUENCER_PLATFORMS
Brent,Wadas,CEO,builtfirst.com,builtfirst.com,https://linkedin.com/in/brentwadas,INFLUENCER_PLATFORMS
Tim,Costello,Founder & Principal,builtfirst.com,builtfirst.com,https://linkedin.com/in/timcostello,INFLUENCER_PLATFORMS
David,Pring,Founder & CEO,justabout.com,justabout.com,https://linkedin.com/in/david-pring-aa0990,INFLUENCER_PLATFORMS
Robert,Dobson,Founder & CEO,socialhelix.io,socialhelix.io,https://linkedin.com/in/robert-dobson-helix-events-group,INFLUENCER_PLATFORMS
Manoj,Erra,Founder & CEO,vanoma.com,vanoma.com,https://linkedin.com/in/manojerra,INFLUENCER_PLATFORMS
Pouria,Karami,Co-Founder & Chief Market development,vanoma.com,vanoma.com,https://linkedin.com/in/pouria-karami-1a21a4174,INFLUENCER_PLATFORMS
Dominika,U.,Founder & CEO ve společnosti Vanilla Group s.r.o,vanoma.com,vanoma.com,https://linkedin.com/in/dominika-u-58a53283,INFLUENCER_PLATFORMS
Olga,Lanova,Founder and CEO,vanoma.com,vanoma.com,https://linkedin.com/in/olgalanova,INFLUENCER_PLATFORMS
Jeppe,Faurfelt,"Co-Founder & CEO, Linkfire",linkfire.com,linkfire.com,https://linkedin.com/in/jeppe-faurfelt-761b3523,INFLUENCER_PLATFORMS
Naveed,Chinoy,Co-Founder,linkfire.com,linkfire.com,https://linkedin.com/in/naveed-chinoy-34259799,INFLUENCER_PLATFORMS
Julien,Michel,🔗 CEO & CMO,linkfire.com,linkfire.com,https://linkedin.com/in/julien-michel-seo-marketing-expert,INFLUENCER_PLATFORMS
Christian,Illerup,CEO - Growth Marketing through Broken Link Building + 14 other Powerful Link-building Techniques.,linkfire.com,linkfire.com,https://linkedin.com/in/illerup,INFLUENCER_PLATFORMS
Muhammad,Waseem Akram,Co-Founder & CMO,rockitboost.com,rockitboost.com,https://linkedin.com/in/muhammad-waseem-akram-17b520109,INFLUENCER_PLATFORMS
Raúl,Hita Ortega,Co-founder & President,rockitboost.com,rockitboost.com,https://linkedin.com/in/johannaliechtenstein,INFLUENCER_PLATFORMS
